"g_id","uid","вид.туризма","регион","название.объекта","источник.данных","POINT_X","POINT_Y","классификация.по.упоминаемости.в.соц.сетях","классификация.по.кол.ву.комментариев.в.соц.сетях","классификация.по.кол.ву.фотографий.рядом.с.точками.притяжения","классификация.по.исходным.данным","общая.классификация","индекс","финальный.уровень.обьекта","финальная.значимость","регион.входа","точка.входа","расстояние.до.ближайшей.точки.входа","попадание.в.зону.2х.часовой.доступности.авто","попадание.в.зону.2х.часовой.доступности.жд","обеспеченность.ТП.мобильной.связью","обеспеченность.ТП.мобильным.интернетом"
"6545","5608","Культурный","Омская область","Здание кадетского корпуса, в котором в 1890-1898 гг. учились Герой Советского Союза генерал-лейтенант Карбышев Дмитрий Михайлович и в 1898-1905 гг. Куйбышев Валериан Владимирович","Основная","73.377644","54.977532","0","10","0","10","6","60","Федеральные","Федеральные","Омская область","Омск","1447","1","0","1","1"
"2867","1930","Культурный","Омская область","Кирха","Основная","73.369434","54.984326","0","1","0","10","4.2","8.4","Макрорегиональные","Федеральные","Омская область","Омск","564","1","0","1","1"
"6032","5095","Культурный","Омская область","Казачий Никольский собор","Основная","73.379657","54.97764","0","1","0","10","4.2","8.4","Макрорегиональные","Федеральные","Омская область","Омск","1495","1","0","1","1"
"8000","7063","Культурный","Омская область","Общественное здание","Основная","73.371778","54.984997","0","1","0","10","4.2","8.4","Макрорегиональные","Федеральные","Омская область","Омск","535","1","0","1","1"
"1908","971","Культурный","Омская область","Тобольские ворота Омской крепости","Основная","73.358681","54.98774","0","0","0","10","4","8","Макрорегиональные","Федеральные","Омская область","Омск","636","1","0","1","1"
"4932","3995","Культурный","Омская область","Здание Управления Омской железной дороги, в котором в январе - марте 1922 г. по заданию Совета труда и обороны работал Дзержинский Феликс Эдмундович","Основная","73.384346","54.969393","0","0","0","10","4","8","Макрорегиональные","Федеральные","Омская область","Омск","2449","1","0","1","1"
"6113","5176","Культурный","Омская область","Бюст Д.М.Карбышева","Основная","73.38518051","54.98364915","0","0","0","10","4","8","Макрорегиональные","Федеральные","Омская область","Омск","1258","1","0","1","1"
"6895","5958","Культурный","Омская область","Здание Военного собрания","Основная","73.369542","54.985101","0","0","0","10","4","8","Макрорегиональные","Федеральные","Омская область","Омск","480","1","0","1","1"
"7751","6814","Культурный","Омская область","Здание гауптвахты","Основная","73.368383","54.985292","0","0","0","10","4","8","Макрорегиональные","Федеральные","Омская область","Омск","451","1","0","1","1"
"14151","13214","Культурный","Омская область","Спасский собор","Основная","74.384126","56.896204","0","0","0","10","4","8","Макрорегиональные","Федеральные","Омская область","Омск","221592","0","0","1","1"
"330882","306","Паломничество","Омская область","Кирха","Основная","73.369434","54.984326","0","0","0","10","4","8","Макрорегиональные","Федеральные","Омская область","Омск","564","1","0","1","1"
"332230","1654","Паломничество","Омская область","Казачий Никольский собор","Основная","73.379657","54.97764","0","0","0","10","4","8","Макрорегиональные","Федеральные","Омская область","Омск","1495","1","0","1","1"
"332555","1979","Паломничество","Омская область","Спасский собор","Основная","74.384126","56.896204","0","0","0","10","4","8","Макрорегиональные","Федеральные","Омская область","Омск","221592","0","0","1","1"
"1024287","66","Паломничество","Омская область","Лютеранская кирха во имя Святой Екатерины","Конфессии","73.36917","54.98389","0","0","0","10","4","8","Макрорегиональные","Федеральные","Омская область","Омск","610","1","0","1","1"
"1024311","91","Паломничество","Омская область","Николая Чудотворца (новая), церковь","Конфессии","73.379332","54.987847","0","0","0","10","4","8","Макрорегиональные","Федеральные","Омская область","Омск","731","1","0","1","1"
"1024347","127","Паломничество","Омская область","Окунево ","Конфессии","71.94069","57.381376","0","0","0","10","4","8","Макрорегиональные","Федеральные","Омская область","Омск","","0","0","1","1"
"1024373","156","Паломничество","Омская область","Шайтан-озеро","Конфессии","74.892375","56.490013","0","0","0","10","4","8","Макрорегиональные","Федеральные","Омская область","Омск","192553","0","0","1","1"
"2720","1783","Культурный","Омская область","Московские торговые ряды","Основная","73.374518","54.984811","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","646","1","0","1","1"
"4239","3302","Культурный","Омская область","Производственный корпус пивзавода, XIX век","Основная","73.357998","54.994223","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","850","1","0","1","1"
"5296","4359","Культурный","Омская область","Здание военного суда","Основная","73.367655","54.986971","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","266","1","0","1","1"
"5883","4946","Культурный","Омская область","Здание флигеля","Основная","73.357998","54.994223","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","850","1","0","1","1"
"6040","5103","Культурный","Омская область","Лазарет кадетского корпуса","Основная","73.37762254","54.97694576","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","1506","1","0","1","1"
"6107","5170","Культурный","Омская область","Банк Сибирский","Основная","73.378857","54.976411","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","1593","1","0","1","1"
"6519","5582","Культурный","Омская область","Жилой дом","Основная","73.367098","54.987523","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","215","1","0","1","1"
"7259","6322","Культурный","Омская область","Труба дымовая","Основная","73.357998","54.994223","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","850","1","0","1","1"
"7708","6771","Культурный","Омская область","Дом жилой офицеров Омского военного округа","Основная","73.368697","54.987513","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","206","1","0","1","1"
"25770","24833","Культурный","Омская область","Памятник М.В.Фрунзе","Основная","73.377644","54.977532","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","1447","1","0","1","1"
"29057","28120","Культурный","Омская область","Дом купчихи А.Г.Волковой","Основная","73.369065","54.987947","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","165","1","0","1","1"
"29573","28636","Культурный","Омская область","Здание Главного управления Западной Сибири, в котором в 1826 - 1842 гг. работали ссыльные декабристы","Основная","73.362598","54.991459","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","430","1","0","1","1"
"37531","36594","Культурный","Омская область","Здание драмтеатра 1905 г.","Основная","73.371482","54.987983","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","258","1","0","1","1"
"79556","78619","Культурный","Омская область","Мемориал воинам-сибирякам, героическим защитникам Родины в годы Великой Отечественной войны, созданный к 30-летию Победы","Основная","73.358879","54.961398","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","3168","1","0","1","1"
"80266","79329","Культурный","Омская область","Стела в память рабочих и ученых Сибирского научно-исследовательского института сельского хозяйства, павшим в годы Великой Отечественной войны 1941-1945 гг.","Основная","73.367871","54.988371","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","110","1","0","1","1"
"1101580","78619","Экотуризм","Омская область","Мемориал воинам-сибирякам, героическим защитникам Родины в годы Великой Отечественной войны, созданный к 30-летию Победы","Основная","73.358879","54.961398","0","10","0","1","2.4","4.8","Макрорегиональные","Региональные","Омская область","Омск","3168","1","0","1","1"
"216630","263904","Культурный","Омская область","Памятный знак Омская крепость","Дополнительная","73.370297","54.981213","0","10","0","0","2","4","Макрорегиональные","Местные","Омская область","Омск","915","1","0","1","1"
"1001051","1001051","Культурный","Омская область","Atrium Kino","Яндекс","73.388857","54.984139","0","10","0","0","2","4","Макрорегиональные","Местные","Омская область","Омск","1443","1","0","1","1"
"1001227","1001227","Культурный","Омская область","Galaktika","Яндекс","73.387937","54.948807","0","10","0","0","2","4","Макрорегиональные","Местные","Омская область","Омск","4686","1","1","1","1"
"1001347","1001347","Культурный","Омская область","Mayak","Яндекс","73.285926","54.997097","0","10","0","0","2","4","Макрорегиональные","Местные","Омская область","Омск","5337","1","0","1","1"
"1001423","1001423","Культурный","Омская область","PKIO im. 30-letia VLKSM","Яндекс","73.413335","54.972423","0","10","0","0","2","4","Макрорегиональные","Местные","Омская область","Омск","3449","1","0","1","1"
"1001467","1001467","Культурный","Омская область","Pervomaisky","Яндекс","73.315133","55.04433","0","10","0","0","2","4","Макрорегиональные","Местные","Омская область","Омск","7000","1","0","1","1"
"1001760","1001760","Культурный","Омская область","Kontinent","Яндекс","73.322875","54.977395","0","10","0","0","2","4","Макрорегиональные","Местные","Омская область","Омск","3193","1","0","1","1"
"1001888","1001888","Культурный","Омская область","Rubin","Яндекс","73.412042","54.949427","0","10","0","0","2","4","Макрорегиональные","Местные","Омская область","Омск","5256","1","1","1","1"
"1001988","1001988","Культурный","Омская область","Kristall","Яндекс","73.284552","55.028655","0","10","0","0","2","4","Макрорегиональные","Местные","Омская область","Омск","6914","1","0","1","1"
"1002171","1002171","Культурный","Омская область","Omsk State Musical Theater","Яндекс","73.38293","54.982461","0","10","0","0","2","4","Макрорегиональные","Региональные","Омская область","Омск","1214","1","0","1","1"
"1002479","1002479","Культурный","Омская область","Bolsherechenskiy gosudarstvenniy im. V. D. Solomatina Zoo","Яндекс","74.642304","56.08965","0","10","0","0","2","4","Макрорегиональные","Региональные","Омская область","Омск","146543","0","0","1","1"
"1002543","1002543","Культурный","Омская область","Omsk State Drama Theater Pyatyy Teatr","Яндекс","73.329373","55.012766","0","10","0","0","2","4","Макрорегиональные","Региональные","Омская область","Омск","3602","1","0","1","1"
"1002577","1002577","Культурный","Омская область","Galerka","Яндекс","73.414292","54.952465","0","10","0","0","2","4","Макрорегиональные","Регональные","Омская область","Омск","5056","1","1","1","1"
"1024822","156677","Событийный","Омская область","Philharmonic Concert Hall","Яндекс","73.379007","54.977102","0","10","0","0","2","4","Макрорегиональные","Региональные","Омская область","Омск","1528","1","0","1","1"
"1024830","175362","Событийный","Омская область","Omsk State Academic Drama Theater","Яндекс","73.371232","54.987923","0","10","0","0","2","4","Макрорегиональные","Региональные","Омская область","Омск","250","1","0","1","1"
"1024854","317527","Событийный","Омская область","Rubin","Яндекс","73.412042","54.949427","0","10","0","0","2","4","Макрорегиональные","Местные","Омская область","Омск","5256","1","1","1","1"
